# TYPO3 changelog index — GENERATED, do not edit by hand.
# grep-only: never read this file as a whole.
# source: web:main
# columns: number	type	version	title	tags	symbols	migration-gist	note	source	path
# note column: 'note' means notes/{number}.md exists and takes precedence.
# PROVISIONAL: harvested from an unreleased branch. Entries may still change or be dropped; never promote to a Validity: line without this caveat.
109836	Feature	15.0	PSR-14 event before form value is rendered	PHP-API ext:form	BeforeFormValueIsRenderedEvent RenderFormValueViewHelper $data element value processedValue isMultiValue isSection $element $formRuntime	With this change, it is possible to do the required manipulation in a single EventListener class instead of requiring to override multiple Fluid templates.	-	provisional	15.0/Feature-109836-IntroducePSR14BeforeFormValueIsRenderedEvent.rst
109849	Breaking	15.0	Removed "buildFormDefinitionValidationConfiguration" hook	Backend ext:form FullyScanned	$GLOBALS['TYPO3_CONF_VARS']['SC_OPTIONS']['ext/form']['buildFormDefinitionValidationConfiguration'] AfterFormDefinitionValidationConfigurationIsBuiltEvent	The hook has been removed without a deprecation phase to allow extensions to remain compatible with both TYPO3 v14 (using the hook) and v15+ (using the new event).	-	provisional	15.0/Breaking-109849-RemovedBuildFormDefinitionValidationConfigurationHook.rst
109849	Feature	15.0	PSR-14 Event after form definition validation config built	Backend ext:form	AfterFormDefinitionValidationConfigurationIsBuiltEvent $GLOBALS['TYPO3_CONF_VARS']['SC_OPTIONS']['ext/form']['buildFormDefinitionValidationConfiguration'] ConfigurationService getPrototypeName(): string getConfiguration(): array setConfiguration(array $configuration): void	With the new AfterFormDefinitionValidationConfigurationIsBuiltEvent, it is now possible to extend the form definition validation configuration using the modern PSR-14 event listener API.	-	provisional	15.0/Feature-109849-PSR14AfterFormDefinitionValidationConfigurationIsBuiltEvent.rst
109926	Breaking	15.0	Removed extbase parameter type evaluation via DocBlock	PHP-API NotScanned ext:extbase	Null_ @param InvalidArgumentTypeException #[Validate] InvalidTypeHintException	Use native PHP type declarations, available since TYPO3 v10:	-	provisional	15.0/Breaking-109926-RemoveExtbaseParameterTypeEvaluationViaDocBlock.rst
109998	Breaking	15.0	Removed jQuery	Backend JavaScript NotScanned ext:backend		Extensions that import jquery in their backend JavaScript modules will fail to load those modules in the browser because the bare module specifier can no longer be resolved.	-	provisional	15.0/Breaking-109998-RemovedJQuery.rst
110023	Breaking	15.0	Harden type declarations	PHP-API NotScanned Backend	daysUntil	Ensure proper PHP type declarations are used when calling these methods.	-	provisional	15.0/Breaking-110023-HardenTypeDeclarations.rst
110027	Breaking	15.0	StandardContentPreviewRenderer streamlined	Backend PHP-API NotScanned ext:backend	StandardContentPreviewRenderer final makeInstance() PreviewRendererInterface FormPagePreviewRenderer	Instead of subclassing StandardContentPreviewRenderer, implement PreviewRendererInterface directly.	-	provisional	15.0/Breaking-110027-StandardContentPreviewRendererStreamlined.rst
110028	Breaking	15.0	LoggerAwareInterface removed from FormEngine base classes	Backend PHP-API NotScanned ext:backend	AbstractNode AbstractDatabaseRecordProvider LoggerAwareInterface LoggerAwareTrait TcaFiles TcaInline LoggerInterface setLogger() $logger #[Autoconfigure(public: true)] NodeFactory	Request a LoggerInterface as a constructor argument in the affected subclass.	-	provisional	15.0/Breaking-110028-LoggerAwareInterfaceRemovedFromFormEngineBaseClasses.rst
110148	Deprecation	15.0	Experimental backend ViewHelpers	Fluid FullyScanned ext:fluid	PagePathViewHelper AbstractBackendViewHelper ModuleTemplate getModuleTemplate() getPageRenderer() E_USER_DEPRECATED AbstractViewHelper PageRenderer	For the page path, use the doc header provided by ModuleTemplate in your backend controller, which already displays the current page path.	-	provisional	15.0/Deprecation-110148-ExperimentalBackendViewHelpers.rst
110188	Breaking	15.0	DataHandler: Drop property bypassAccessCheckForRecords	PHP-API FullyScanned ext:core	DataHandler->bypassAccessCheckForRecords DataHandler->start() DataHandler->BE_USER	Use a proper BackendUserAuthentication with sufficient access rights in DataHandler->start() instead for custom DataHandler calls. Check for DataHandler->BE_USERrights in DataHandler hooks.	-	provisional	15.0/Breaking-110188-DataHandlerDropPropertyBypassAccessCheckForRecords.rst
110196	Breaking	15.0	PHP class Rfc822AddressesParser removed	PHP-API FullyScanned ext:core	Rfc822AddressesParser parseAddresses() Address '"last, first" <email@example.org>' '"last, first"' 'last, first'	To parse a comma-separated list of email addresses with optional display names, use parseAddresses(), which continues to work as before.	-	provisional	15.0/Breaking-110196-Rfc822AddressesParserRemoved.rst
110202	Deprecation	15.0	StringUtility::multibyteStringPad() method	PHP-API FullyScanned ext:core	multibyteStringPad() str_pad() mb_str_pad() ValueError	Use the native PHP function mb_str_pad() instead. Note that mb_str_pad() throws a ValueError when an empty pad string is passed, whereas multibyteStringPad() returned the input unchanged.	-	provisional	15.0/Deprecation-110202-StringUtilityMultibyteStringPad.rst
110211	Breaking	15.0	Raise minimum PHP version to 8.5	PHP-API NotScanned ext:core		Update the PHP platform to PHP 8.5 before upgrading to this TYPO3 version.	-	provisional	15.0/Breaking-110211-RaiseMinimumPHPVersionTo85.rst
110218	Breaking	15.0	Class LogRecord declared final	PHP-API NotScanned ext:core	LogRecord final new Logger makeInstance() strict_types setCreated() TypeError ProcessorInterface WriterInterface	To enrich or modify log records, implement a custom log processor (ProcessorInterface), which may return a modified or newly created LogRecord instance.	-	provisional	15.0/Breaking-110218-LogRecordDeclaredFinal.rst
110219	Breaking	15.0	Log request ID provided by log processor	PHP-API NotScanned ext:core	LogManager Logger LogRecord RequestIdProcessor $GLOBALS['TYPO3_CONF_VARS']['LOG'] __construct() $requestId RequestId makeLogger() getRequestId() TypeError #[Channel] LoggerAwareInterface LogManager->getLogger()	Obtain loggers through dependency injection or LogManager->getLogger(), which attach the RequestIdProcessor automatically.	-	provisional	15.0/Breaking-110219-LogRequestIdProvidedByLogProcessor.rst
110221	Breaking	15.0	Class Logger declared final	PHP-API NotScanned ext:core	Logger final new LogManager makeInstance() #[Channel] LoggerAwareInterface LogManager->getLogger() LoggerInterface LogManagerInterface WriterInterface ProcessorInterface	To customize logging behavior, implement the PSR-3 LoggerInterface and provide the instances through a custom LogManagerInterface implementation, or attach custom log writers (WriterInterface) and pro…	-	provisional	15.0/Breaking-110221-LoggerDeclaredFinal.rst
110250	Breaking	15.0	Remove implicit output buffering from Bootstrap	PHP-API FullyScanned ext:core	Bootstrap ob_start() init() echo print ext_localconf.php ext_tables.php startOutputBuffering() Call to undefined method ob_end_clean()	Remove any accidental output from ext_localconf.php and ext_tables.php files. Extensions that need to suppress their own output must manage output buffering (ob_start() / ob_end_clean()) themselves.	-	provisional	15.0/Breaking-110250-RemovedImplicitOutputBufferingFromBootstrap.rst
110259	Feature	15.0	New PSR-14 AfterFileListRowPreparedEvent	Backend PHP-API ext:filelist	AfterFileListRowPreparedEvent ProcessFileListActionsEvent name size AfterRecordListRowPreparedEvent	Extension authors can now decorate or override the rendered value of any column - not just the action icons - for a file or folder row in the File List module, without resorting to hooks or class-name…	-	provisional	15.0/Feature-110259-NewPSR-14AfterFileListRowPreparedEvent.rst
110269	Feature	15.0	Allow row updater registration with PHP attribute	CLI PHP-API ext:core	AsRowUpdater RowUpdaterInterface databaseRowsUpdateWizard DatabaseRowsUpdateWizard	Extensions and projects can now ship their own row updaters and have them executed by the "Execute database row updates" upgrade wizard, both in the Admin Tools > Upgrade backend module and with the u…	-	provisional	15.0/Feature-110269-AllowRowUpdaterRegistrationViaPhpAttribute.rst
110277	Breaking	15.0	File renderer registration and interface changed	FAL PHP-API PartiallyScanned ext:core	RendererRegistry->registerRendererClass() E_USER_DEPRECATED FileRendererInterface SingletonInterface getPriority() #[AsFileRenderer] 1 0 canRender(FileInterface $file): bool render(FileInterface $file, int|string $width, int|string $height, array $options = []): string createRendererInstance() compareRendererPriority() RendererRegistry getRendererInstances() @internal getRenderer() registerRendererClass() canRender() render() $width $height bool string RendererRegistry->getRendererInstances() getRenderer($file)	Remove the RendererRegistry->registerRendererClass() call from ext_localconf.php and add the #[AsFileRenderer] attribute to the renderer class instead.	-	provisional	15.0/Breaking-110277-FileRendererRegistrationAndInterfaceChanged.rst
110277	Feature	15.0	Register file renderers as tagged services	FAL PHP-API ext:core	RendererRegistry->registerRendererClass() FileRendererInterface AsFileRenderer canRender() 0 1 getPriority()	Registering file renderers as tagged services has the following benefits over the previous programmatic registration: - The registration is resolved once at container compile time instead of executing…	-	provisional	15.0/Feature-110277-RegisterFileRenderersAsTaggedServices.rst
110285	Deprecation	15.0	DataHandler->setCorrelationId()	PHP-API FullyScanned ext:core	DataHandler->setCorrelationId() DataHandler->start() start() E_USER_DEPRECATED CorrelationId	Pass the CorrelationId instance directly to DataHandler->start() instead:	-	provisional	15.0/Deprecation-110285-DataHandlerSetCorrelationId.rst
110286	Breaking	15.0	Text extractor registration and interface changed	FAL PHP-API PartiallyScanned ext:core	TextExtractorRegistry->registerTextExtractor() TextExtractorInterface canExtractText(FileInterface $file): bool extractText(FileInterface $file): string createTextExtractorInstance() TextExtractorRegistry getTextExtractorInstances() getTextExtractor() registerTextExtractor() #[AsTextExtractor] canExtractText() extractText() bool string TextExtractorRegistry->getTextExtractorInstances() getTextExtractor($file)	Remove the TextExtractorRegistry->registerTextExtractor() call from ext_localconf.php and add the #[AsTextExtractor] attribute to the extractor class instead.	-	provisional	15.0/Breaking-110286-TextExtractorRegistrationAndInterfaceChanged.rst
110286	Feature	15.0	Register text extractors as tagged services	FAL PHP-API ext:core	TextExtractorRegistry->registerTextExtractor() TextExtractorInterface AsTextExtractor canExtractText() PlainTextExtractor 0	Registering text extractors as tagged services has the following benefits over the previous programmatic registration: - The registration is resolved once at container compile time instead of executin…	-	provisional	15.0/Feature-110286-RegisterTextExtractorsAsTaggedServices.rst
110287	Breaking	15.0	Meta tag manager registration and interface changed	PHP-API Frontend PartiallyScanned ext:core	MetaTagManagerRegistry->registerManager() removeAllManagers() MetaTagManagerRegistry addProperty() removeProperty() removeAllProperties() MetaTagManagerInterface void AbstractMetaTagManager #[AsMetaTagManager] registerManager() identifier before after	Remove the MetaTagManagerRegistry->registerManager() call from ext_localconf.php and add the #[AsMetaTagManager] attribute to the manager class instead:	-	provisional	15.0/Breaking-110287-MetaTagManagerRegistrationAndInterfaceChanged.rst
110287	Feature	15.0	Register meta tag managers as tagged services	PHP-API Frontend ext:core	MetaTagManagerRegistry->registerManager() MetaTagManagerInterface AbstractMetaTagManager AsMetaTagManager before after generic registerManager()	Registering meta tag managers as tagged services has the following benefits over the previous programmatic registration: - The registration and the resolution of the before/after ordering constraints…	-	provisional	15.0/Feature-110287-RegisterMetaTagManagersAsTaggedServices.rst
110319	Breaking	15.0	Encryption key is checked before ext_localconf.php loading	LocalConfiguration PHP-API NotScanned ext:core	Bootstrap $GLOBALS['TYPO3_CONF_VARS']['SYS']['encryptionKey'] RuntimeException ext_localconf.php $GLOBALS['TCA'] TcaSchemaFactory->load()	Set the encryption key in the system configuration, either directly in config/system/settings.php or in config/system/additional.php, both of which are evaluated before the check:	-	provisional	15.0/Breaking-110319-EncryptionKeyCheckedBeforeLoadingExtLocalconf.rst
110319	Breaking	15.0	Removed unused internal Bootstrap methods	PHP-API FullyScanned ext:core	Bootstrap baseSetup() createConfigurationManager() populateLocalConfiguration() @internal init() Call to undefined method protected	Remove calls to baseSetup(), init() performs the equivalent setup internally. Replace createConfigurationManager() with a direct instantiation:	-	provisional	15.0/Breaking-110319-RemovedUnusedInternalBootstrapMethods.rst
110334	Breaking	15.0	XML sitemap data provider interface changed	PHP-API PartiallyScanned ext:seo	XmlSitemapDataProviderInterface getKey() getItems() getLastModified() getNumberOfPages() getSitemap() XmlSitemapRequest XmlSitemap InvalidConfigurationException AbstractXmlSitemapDataProvider forPage() create()	Move the collecting of items from the constructor to getSitemap() and take the configuration, the requested page and the content object renderer from the XmlSitemapRequest.	-	provisional	15.0/Breaking-110334-XmlSitemapDataProviderInterfaceChanged.rst
110334	Deprecation	15.0	AbstractXmlSitemapDataProvider	PHP-API FullyScanned ext:seo	AbstractXmlSitemapDataProvider XmlSitemapRequest getSitemap() E_USER_DEPRECATED XmlSitemapDataProviderInterface $this->key $sitemapRequest->name $this->config $sitemapRequest->configuration $this->request $sitemapRequest->request $this->cObj $sitemapRequest->contentObjectRenderer $this->items forPage() $this->numberOfItemsPerPage getKey() getItems() getLastModified() getNumberOfPages() XmlSitemap	Implement XmlSitemapDataProviderInterface directly instead of extending the base class.	-	provisional	15.0/Deprecation-110334-AbstractXmlSitemapDataProvider.rst
110347	Deprecation	15.0	LazyLoadingProxy and LazyObjectStorage	PHP-API FullyScanned ext:extbase	LazyLoadingProxy LazyObjectStorage LoadingStrategyInterface Lazy] ObjectStorage E_USER_DEPRECATED instanceof false LazyLoadingProxy->_loadRealInstance() _loadRealInstance()	No change is required for declaring lazy relations, the Lazy] attribute remains the single way to do so. Union type declarations can be reduced to the actual entity type:	-	provisional	15.0/Deprecation-110347-LazyLoadingProxyAndLazyObjectStorage.rst
110347	Feature	15.0	Native lazy objects for Extbase lazy loading	PHP-API ext:extbase	Lazy] LazyObjectStorage LazyLoadingProxy ObjectStorage Category instanceof DataMapper __serialize() __unserialize() spl_object_hash() unserialize() detach() contains() offsetGet() Category|LazyLoadingProxy|null ?Category LazyLoadingProxy->_loadRealInstance() instanceof LazyLoadingProxy count() null _loadRealInstance()	Lazy loading works transparently for domain models using the Lazy] attribute.	-	provisional	15.0/Feature-110347-NativeLazyObjectsForExtbaseLazyLoading.rst
110348	Deprecation	15.0	AssetCollector media handling	FAL Frontend PHP-API NotScanned ext:core	AssetCollector AssetCollector->addMedia() AssetCollector->getMedia() AssetCollector->hasMedia() AssetCollector->removeMedia() $TSFE->imagesOnPage addMedia() AfterFileProcessingEvent E_USER_DEPRECATED ImageService->applyProcessingInstructions() ImageContentObject removeMedia()	Remove calls to addMedia() and removeMedia() — they serve no rendering purpose. To collect the images processed during a request, register a PSR-14 event listener instead.	-	provisional	15.0/Deprecation-110348-AssetCollectorMediaHandling.rst
110414	Breaking	15.0	Remove global access time variables	PHP-API NotScanned ext:core	$GLOBALS['ACCESS_TIME'] $GLOBALS['SIM_ACCESS_TIME'] $GLOBALS['EXEC_TIME'] $GLOBALS['SIM_EXEC_TIME'] getTimestamp() getTimestampWithMinutePrecision() $context->getPropertyFromAspect('date', 'accessTime') StartTimeRestriction EndTimeRestriction RuntimeException 1462820645 1462821084 null Context CacheLifetimeCalculator RedirectService PageLayoutController class)	Use the date aspect of the Context API instead of the global variables:	-	provisional	15.0/Breaking-110414-RemoveGlobalAccessTimeVariables.rst
110453	Feature	15.0	Derive PageRepository instances for another Context	PHP-API ext:core	PageRepository Context withLanguageAspect() withContext() new LanguageAspect() class, $context)	Extension authors can inject PageRepository through dependency injection and derive Context-specific instances where they are needed, instead of cloning a Context and calling class, $context).	-	provisional	15.0/Feature-110453-DerivePageRepositoryInstancesForAnotherContext.rst
110477	Deprecation	15.0	CommandRegistry->getSchedulableCommands()	CLI FullyScanned PHP-API ext:core	CommandRegistry->getSchedulableCommands() E_USER_DEPRECATED CommandRegistry->getSchedulableCommandsConfiguration() CommandRegistry->get()	Use CommandRegistry->getSchedulableCommandsConfiguration() to retrieve the configuration indexed by command identifier.	-	provisional	15.0/Deprecation-110477-CommandRegistryGetSchedulableCommands.rst
110479	Deprecation	15.0	ActionMenuItemGroup defaultController argument	Fluid NotScanned ext:fluid	E_USER_DEPRECATED	Remove the unused defaultController argument from the ViewHelper call.	-	provisional	15.0/Deprecation-110479-ActionMenuItemGroupDefaultControllerArgument.rst
110485	Breaking	15.0	Menu content object registration changed	Frontend PHP-API TypoScript PartiallyScanned ext:frontend	MenuContentObjectFactory @internal registerMenuType() NoSuchMenuTypeException AbstractMenuContentObject __construct() makeInstance() MenuContentObjectFactory->registerMenuType() MenuContentObjectFactory->getMenuObjectByType()	Remove the registerMenuType() call from ext_localconf.php and register the menu content object as a tagged service instead.	-	provisional	15.0/Breaking-110485-MenuContentObjectRegistrationChanged.rst
110501	Important	15.0	Slashes in page titles no longer end up in generated slugs	TCA ext:core	slug	The slug field of the pages table is generated from the page title. Until now, a slash contained in the title was kept as-is.	-	provisional	15.0/Important-110501-SlashesInPageTitlesNoLongerEndUpInGeneratedSlugs.rst
110540	Important	15.0	File collector sorting uses an enum	FAL Frontend PHP-API TypoScript NotScanned ext:frontend	FileCollector->sort() FileCollectionSorting Ascending Descending Random FileCollector @internal sort() fromKeyword() asc ascending desc descending rand random ValueError	The sorting order passed to FileCollector->sort() is no longer a plain string but the new enum FileCollectionSorting with the cases Ascending, Descending and Random.	-	provisional	15.0/Important-110540-FileCollectorSortingUsesAnEnum.rst
110578	Breaking	15.0	SingletonInterface removed from core services	PHP-API NotScanned ext:core	SingletonInterface makeInstance() ConfigurationService ProcessedImageCollector DataProviderCollection CacheManager CommandRegistry AbstractExceptionHandler Locales FlashMessageService MetaTagManagerRegistry PageTitleProviderManager OnlineMediaHelperRegistry TaskTypeRegistry RendererRegistry TextExtractorRegistry QueryObjectModelFactory AbstractTypeConverter ExtensionService ValidatorResolver SessionService Scheduler CollectionService setSingletonInstance() removeSingletonInstance() TypeError $container->get() ArgumentCountError ServiceNotFoundException	Inject the service instead of fetching it. Since services are shared, the injected instance is the same one the rest of the request uses:	-	provisional	15.0/Breaking-110578-SingletonInterfaceRemovedFromCoreServices.rst
110625	Feature	15.0	Group record history entries by their operation	Backend PHP-API ext:backend	DataHandler RecordHistory->findEventsForScope() RecordHistory->getScopeOfEvent() null scopePrefix()	Editors can see that one save changed twelve records instead of guessing it from twelve consecutive lines, and undo all twelve at once.	-	provisional	15.0/Feature-110625-GroupRecordHistoryByOperation.rst
